keyword,before,after
unreported,0.4060317575931549,0.23353545367717743
5g,0.06581249833106995,0.18856719136238098
radiation,-0.12252107262611389,0.2390635907649994
electromagnetic,9.0,0.07539230585098267
chip,9.0,9.0
microchip,-0.12224628776311874,-0.10226643085479736
microchipping,9.0,-0.051779840141534805
implant,9.0,9.0
gates,-0.009743329137563705,0.06684504449367523
hoax,-0.09668634831905365,-0.06319747865200043
overblown,0.08878471702337265,-0.08079668134450912
flu,0.23964029550552368,0.2292684018611908
bleach,0.0596943274140358,0.01950216293334961
chlorine,-0.019542396068572998,0.0425037145614624
antibiotics,-0.0007824897766113281,0.019193366169929504
