keyword,before,after
"['black', 'genocide']",0.2689937651157379,0.2063363492488861
"['black', 'immune']",9.0,9.0
"['black', 'immunity']",0.16182106733322144,0.13792839646339417
"['black', 'inoculated']",9.0,0.0950496718287468
"['black', 'depopulate']",9.0,9.0
"['black', 'depopulation']",0.09477847814559937,-0.0016374513506889343
"['black', 'vitamin']",0.06288280338048935,0.06774154305458069
"['black', 'vit']",-0.0011671558022499084,0.010534711182117462
"['black', 'zinc']",0.10097071528434753,-0.08660253882408142
"['black', 'supplements']",-0.025979090481996536,0.024830598384141922
"['black', 'garlic']",0.03499175235629082,0.049922484904527664
"['black', 'water']",-0.03784297779202461,0.012624144554138184
"['black', 'colloid']",9.0,9.0
"['black', 'vaccine']",0.06789351254701614,-0.0443883091211319
"['black', 'vaccinate']",9.0,9.0
"['black', 'vaccination']",9.0,9.0
"['africa', 'genocide']",9.0,9.0
"['africa', 'immune']",9.0,9.0
"['africa', 'immunity']",9.0,9.0
"['africa', 'inoculated']",9.0,9.0
"['africa', 'depopulate']",9.0,9.0
"['africa', 'depopulation']",9.0,9.0
"['africa', 'vitamin']",9.0,9.0
"['africa', 'vit']",9.0,9.0
"['africa', 'zinc']",9.0,9.0
"['africa', 'supplements']",9.0,9.0
"['africa', 'garlic']",9.0,9.0
"['africa', 'water']",9.0,9.0
"['africa', 'colloid']",9.0,9.0
"['africa', 'vaccine']",9.0,9.0
"['africa', 'vaccinate']",9.0,9.0
"['africa', 'vaccination']",9.0,9.0
"['african', 'genocide']",9.0,9.0
"['african', 'immune']",9.0,9.0
"['african', 'immunity']",9.0,9.0
"['african', 'inoculated']",9.0,9.0
"['african', 'depopulate']",9.0,9.0
"['african', 'depopulation']",9.0,9.0
"['african', 'vitamin']",9.0,9.0
"['african', 'vit']",9.0,9.0
"['african', 'zinc']",9.0,9.0
"['african', 'supplements']",9.0,9.0
"['african', 'garlic']",9.0,9.0
"['african', 'water']",9.0,9.0
"['african', 'colloid']",9.0,9.0
"['african', 'vaccine']",9.0,9.0
"['african', 'vaccinate']",9.0,9.0
"['african', 'vaccination']",9.0,9.0
"['melanin', 'genocide']",9.0,9.0
"['melanin', 'immune']",9.0,9.0
"['melanin', 'immunity']",9.0,9.0
"['melanin', 'inoculated']",9.0,9.0
"['melanin', 'depopulate']",9.0,9.0
"['melanin', 'depopulation']",9.0,9.0
"['melanin', 'vitamin']",9.0,9.0
"['melanin', 'vit']",9.0,9.0
"['melanin', 'zinc']",9.0,9.0
"['melanin', 'supplements']",9.0,9.0
"['melanin', 'garlic']",9.0,9.0
"['melanin', 'water']",9.0,9.0
"['melanin', 'colloid']",9.0,9.0
"['melanin', 'vaccine']",9.0,9.0
"['melanin', 'vaccinate']",9.0,9.0
"['melanin', 'vaccination']",9.0,9.0
"['poc', 'genocide']",0.1828935295343399,0.2637878358364105
"['poc', 'immune']",9.0,9.0
"['poc', 'immunity']",0.010159607976675034,0.10779298841953278
"['poc', 'inoculated']",9.0,-0.07012082636356354
"['poc', 'depopulate']",9.0,9.0
"['poc', 'depopulation']",0.13112938404083252,0.031503207981586456
"['poc', 'vitamin']",0.1437525898218155,0.11051951348781586
"['poc', 'vit']",0.13108672201633453,0.1521730273962021
"['poc', 'zinc']",0.07897920906543732,-0.02654118835926056
"['poc', 'supplements']",0.1071079894900322,0.1067519336938858
"['poc', 'garlic']",0.13090454041957855,0.04402012377977371
"['poc', 'water']",-0.030484378337860107,0.03989148139953613
"['poc', 'colloid']",9.0,9.0
"['poc', 'vaccine']",-0.08996398746967316,-0.026889920234680176
"['poc', 'vaccinate']",9.0,9.0
"['poc', 'vaccination']",9.0,9.0
"['mandatory', 'vaccine']",-0.04799089580774307,0.11549301445484161
"['overcount', 'death']",9.0,0.06988795101642609
"['dioxide', 'mask']",-0.011864908039569855,-0.05162055790424347
"['lab', 'china']",0.1333489716053009,0.3513392210006714
