keyword,before,after
"['black', 'genocide']",23.008089065551758,41.654754638671875
"['black', 'immune']",9.0,9.0
"['black', 'immunity']",35.092350006103516,46.95451736450195
"['black', 'inoculated']",9.0,37.41593551635742
"['black', 'depopulate']",9.0,9.0
"['black', 'depopulation']",26.78109359741211,42.5316162109375
"['black', 'vitamin']",34.1536750793457,47.01774597167969
"['black', 'vit']",24.454689025878906,42.456485748291016
"['black', 'zinc']",24.265274047851562,53.18870162963867
"['black', 'supplements']",27.429590225219727,42.75081253051758
"['black', 'garlic']",25.94693374633789,40.180931091308594
"['black', 'water']",36.79866027832031,47.31393051147461
"['black', 'colloid']",9.0,9.0
"['black', 'vaccine']",38.93145751953125,56.09638214111328
"['black', 'vaccinate']",9.0,9.0
"['black', 'vaccination']",9.0,9.0
"['africa', 'genocide']",9.0,9.0
"['africa', 'immune']",9.0,9.0
"['africa', 'immunity']",9.0,9.0
"['africa', 'inoculated']",9.0,9.0
"['africa', 'depopulate']",9.0,9.0
"['africa', 'depopulation']",9.0,9.0
"['africa', 'vitamin']",9.0,9.0
"['africa', 'vit']",9.0,9.0
"['africa', 'zinc']",9.0,9.0
"['africa', 'supplements']",9.0,9.0
"['africa', 'garlic']",9.0,9.0
"['africa', 'water']",9.0,9.0
"['africa', 'colloid']",9.0,9.0
"['africa', 'vaccine']",9.0,9.0
"['africa', 'vaccinate']",9.0,9.0
"['africa', 'vaccination']",9.0,9.0
"['african', 'genocide']",9.0,9.0
"['african', 'immune']",9.0,9.0
"['african', 'immunity']",9.0,9.0
"['african', 'inoculated']",9.0,9.0
"['african', 'depopulate']",9.0,9.0
"['african', 'depopulation']",9.0,9.0
"['african', 'vitamin']",9.0,9.0
"['african', 'vit']",9.0,9.0
"['african', 'zinc']",9.0,9.0
"['african', 'supplements']",9.0,9.0
"['african', 'garlic']",9.0,9.0
"['african', 'water']",9.0,9.0
"['african', 'colloid']",9.0,9.0
"['african', 'vaccine']",9.0,9.0
"['african', 'vaccinate']",9.0,9.0
"['african', 'vaccination']",9.0,9.0
"['melanin', 'genocide']",9.0,9.0
"['melanin', 'immune']",9.0,9.0
"['melanin', 'immunity']",9.0,9.0
"['melanin', 'inoculated']",9.0,9.0
"['melanin', 'depopulate']",9.0,9.0
"['melanin', 'depopulation']",9.0,9.0
"['melanin', 'vitamin']",9.0,9.0
"['melanin', 'vit']",9.0,9.0
"['melanin', 'zinc']",9.0,9.0
"['melanin', 'supplements']",9.0,9.0
"['melanin', 'garlic']",9.0,9.0
"['melanin', 'water']",9.0,9.0
"['melanin', 'colloid']",9.0,9.0
"['melanin', 'vaccine']",9.0,9.0
"['melanin', 'vaccinate']",9.0,9.0
"['melanin', 'vaccination']",9.0,9.0
"['poc', 'genocide']",9.575488090515137,31.841934204101562
"['poc', 'immune']",9.0,9.0
"['poc', 'immunity']",30.4829158782959,39.510372161865234
"['poc', 'inoculated']",9.0,26.73268699645996
"['poc', 'depopulate']",9.0,9.0
"['poc', 'depopulation']",15.21477222442627,30.644214630126953
"['poc', 'vitamin']",25.889225006103516,37.185752868652344
"['poc', 'vit']",7.7275519371032715,28.901569366455078
"['poc', 'zinc']",9.479612350463867,42.50603103637695
"['poc', 'supplements']",13.796751976013184,30.428205490112305
"['poc', 'garlic']",12.050328254699707,28.52365493774414
"['poc', 'water']",28.038818359375,37.123714447021484
"['poc', 'colloid']",9.0,9.0
"['poc', 'vaccine']",33.566898345947266,47.1614875793457
"['poc', 'vaccinate']",9.0,9.0
"['poc', 'vaccination']",9.0,9.0
"['mandatory', 'vaccine']",41.8695068359375,46.65758514404297
"['overcount', 'death']",9.0,54.38720703125
"['dioxide', 'mask']",41.243064880371094,53.04841232299805
"['lab', 'china']",32.618927001953125,44.07875061035156
