keyword,before,after
5g,0.08025290071964264,0.058197736740112305
radiation,0.014710146933794022,0.24664297699928284
electromagetic,9.0,9.0
chip,-0.043166760355234146,0.012123141437768936
microchip,9.0,0.014471970498561859
microchipping,9.0,-0.007502967491745949
implant,9.0,-0.04510483518242836
gates,0.03033195436000824,-0.07876402139663696
hoax,-0.11706583201885223,-0.19185179471969604
overblown,-0.00931026041507721,-0.052763763815164566
flu,0.19058668613433838,0.14920032024383545
bleach,-0.05120871961116791,-0.061544932425022125
chlorine,0.04199806600809097,0.004492904990911484
antibiotics,0.06100260093808174,-0.0018996000289916992
